g1,g2,g3,g4,g5,g6,Class
0.066082,0.044965,0.097535,0.25,1,0.295455,3
0.050573,0.022044,0.499499,0.554688,0.615385,0.113636,4
0.066757,0.039016,0,0.117188,0.096154,0.136364,1
0.07822,0.001002,0.186687,0.625,0.076923,0.727273,4
0.049225,0.001002,0.092843,0.09375,0.5,0.090909,2
0.064059,0.123246,0.045921,0.117188,0.307692,0.085227,1
0.008766,0.013652,0.01464,0.046875,0.307692,0.034091,1
0.534727,1,0.186687,0,0.115385,0.113636,4
0.028321,0.044965,1,0.125,0.615385,0.363636,4
0.03911,0.498998,0.124124,0.511719,0.115385,0.022727,3
0.050573,0.013652,0.092843,0.554688,0.057692,0.085227,3
0.066757,0.123246,0.186687,0.375,0.076923,0.272727,3
0.055968,0.014028,0.374374,0.035156,0.153846,0.590909,3
0.224545,0.039016,0.374374,0.125,0,0.272727,3
0.084963,0.006012,0.077202,1,0.461538,0,4
0.096426,0.0062,0.092843,0,0.019231,0.085227,1
0.066757,0.0062,0.077202,0.007813,0.096154,0.005682,1
0.136885,0.002004,0.069382,0.03125,0,0.017045,1
0.062711,0.0062,0.007007,0.511719,0.134615,0.147727,2
0.066757,0.014404,0.053741,0.023438,0.019231,0.107955,1
0.190829,0.123246,0.499499,0.625,0.057692,0.079545,4
0.07822,0.0062,0.053741,0.007813,0.153846,0.068182,1
0.190829,0.039016,0.374374,0,0.153846,0.136364,3
0.01416,0,0.011011,0.625,0.115385,0.147727,2
0.066757,0.002004,0.069382,0.25,0.057692,0.113636,2
0.211059,0.014028,0.02246,1,0.307692,0.272727,4
0.312205,0.162074,0.01464,0.125,0.076923,0.636364,3
0.08294,0.0062,0.02246,0.1875,0.5,1,3
0.028321,0,0.162913,0.0625,0.5,0.005682,2
0.015509,0.022044,0.061562,0.253906,0.134615,0.068182,1
0.157114,0,0.069382,0.253906,0.134615,0.005682,2
0.084963,0.248497,0.02246,0.117188,0.461538,0.079545,2
0.005394,0.002004,1,0.09375,0.230769,0.028409,4
0.031693,0.002004,0.061562,0.125,0.019231,0.147727,1
0.020904,0.014028,0.499499,0.1875,0.307692,0.017045,3
0.534727,0.006012,0.326983,0.511719,0.461538,0.636364,4
0.026298,0.091934,0.162913,1,0.230769,0.085227,4
0.020904,0.248497,0.095971,0.117188,0.096154,1,3
0.045179,0.014404,0.092843,0.023438,0,0.090909,1
0.064059,0.091934,0.01464,1,1,0,4
0.059339,0.014028,0.01464,0.0625,0.096154,0.636364,2
0.028321,0.001002,0.124124,0.0625,0.615385,0.022727,2
0.035738,0.002004,0.186687,0,0.134615,0.073864,1
0.045179,0.248497,0.326983,0.023438,0.096154,0.136364,3
0.534727,0.022044,0.02246,0.003906,0.019231,0.039773,2
0.106541,0.060621,0.01464,0.625,0.5,0.107955,3
0.026972,0.498998,0.069382,0.046875,0.115385,0.159091,2
0.020904,0.006012,0.095971,0,0.076923,0.079545,1
0.004046,0.001002,0.097535,0.554688,0.5,0.590909,4
0.113284,0.001002,0.374374,0,0.019231,0.005682,2
0.084963,0.044965,0.374374,0.015625,0.038462,0.028409,3
1,0.162074,0.03028,1,0.096154,0.590909,4
0.062711,0.01002,0.499499,0.1875,0.307692,0.039773,4
0.026972,0.013652,0.092843,0.09375,0.307692,0.136364,1
0.312205,0.01002,0,0.015625,0.096154,0.176136,2
0.123399,0.013652,0.249249,0.003906,1,0.073864,3
0.026298,0.123246,0.01464,0.0625,0.5,0.045455,1
0.123399,0.013652,0.124124,0.007813,0.461538,0,2
1,0.029309,0.249249,0.4375,0.307692,0.068182,4
0.140256,0.029309,0.326983,0.003906,0.096154,0.068182,3
0.037087,0.014404,0.097535,0.4375,0.057692,0.079545,2
0.136885,0.080035,1,0.5,0.5,0.363636,4
0.211059,0.123246,0.069382,0.09375,0.019231,0.136364,2
0.026972,0.039016,0.124124,0.09375,0.115385,0.017045,1
0.096426,0.013652,0.069382,0.375,0.461538,0.039773,3
0.006069,1,0.01464,0.625,0,0.159091,4
0.595415,0.039016,0.097535,0.015625,0.038462,0.295455,3
0.062711,0.001002,0.02246,0.007813,0.461538,0.363636,1
0.037087,0,0.01464,0,0.153846,0.590909,1
0.096426,0.039016,0.097535,0.0625,0.307692,0.176136,2
0.050573,0.044965,0.069382,0.25,0.038462,0.073864,1
0.022252,0.004008,0.053741,0.5,0.038462,0.090909,2
0.084963,0.002004,0.02246,0.035156,0.057692,0.136364,1
0.028321,0.060621,0.039977,0.375,0.019231,1,3
